id,title,direction,code_direction,start_year,end_year,education_form,educational_program_id
1,Учебный план ОО (2021),Психолого-педагогическое образование,44.03.02,2021,2025,Очная,1
2,Учебный план ОО (2022),Психолого-педагогическое образование,44.03.02,2022,2026,Очная,1
3,Учебный план ЗО (2019),Психолого-педагогическое образование,44.03.02,2019,2023,Заочная,1
4,Учебный план ЗО (2020),Психолого-педагогическое образование,44.03.02,2020,2024,Заочная,1
5,Учебный план ЗО (2021),Психолого-педагогическое образование,44.03.02,2021,2025,Заочная,1
6,Учебный план ЗО (2022),Психолого-педагогическое образование,44.03.02,2022,2026,Заочная,1
